,Facility Code,Facility Name,County,Type,Owner,Location,Sub Location,Constituency,Open 24 Hours,Open Weekends,Operational Status
5078,12957,Githurai VCT,Nairobi,VCT Centre (Stand-Alone),Private Enterprise (Institution),Githurai,,ROYSAMBU,N,N,Operational
5186,20396,Dr.P.W.Kamau&Associates(Upper Hill Medical Centre),Nairobi,Medical Clinic,Private Practice - General Practitioner,Kilimani,Kilimani,DAGORETTI NORTH,N,Y,Operational
5188,18389,Dreamline Medical Clinic Kamulu,Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruai,Kamulu,KASARANI,Y,N,Operational
5189,12929,Dreams Centre Dispensary (Langata),Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Lang'ata,Lang'ata,LANG'ATA,N,N,Operational
5194,20234,Drugnet Medical centre,Nairobi,Medical Clinic,Private Practice - Unspecified,Ruaraka,mathare,RUARAKA,Y,Y,Operational
5196,13099,Dsc Karen Dispensary (Armed Forces),Nairobi,Dispensary,Armed Forces,Karen,Karen,LANG'ATA,Y,Y,Operational
5212,21146,Eagle Health Care Solution ,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,,,WESTLANDS,N,Y,Operational
5213,18739,Eagle Wings Medical Centre,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Mugumoini,Mugumoini,LANG'ATA,N,Y,Operational
5224,19452,Eastern Medical Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,kayole,,EMBAKASI CENTRAL,N,Y,Operational
5226,12930,Eastleigh Health Centre,Nairobi,Health Centre,Local Authority,Eastleigh Section I,Eastleigh Section I,KAMUKUNJI,N,N,Operational
5227,19526,Eastway Medical Centre,Nairobi,Dispensary,Private Enterprise (Institution),Kawagware,kawagware,DAGORETTI NORTH,N,N,Operational
5237,18990,Ebenezer Medical Services,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Laini Saba,Laini Saba,LANG'ATA,N,Y,Operational
5252,13220,EDARP Donholm Clinic,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Savannah,Savannah,EMBAKASI EAST,N,N,Operational
5253,17719,EDARP Komarock Health Centre,Nairobi,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,Komarock,Komarock,EMBAKASI CENTRAL,N,N,Operational
5254,17548,EDARP Njiru Clinic,Nairobi,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,Njiru,Njiru,KASARANI,N,N,Operational
5255,13169,EDARP Ruai Clinic,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Ruai,Ruai,KASARANI,N,N,Operational
5256,13191,EDARP Soweto Health Centre,Nairobi,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Kayole,Kayole,EMBAKASI CENTRAL,N,N,Operational
5259,12931,Eden Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Kahawa,,ROYSAMBU,N,N,Operational
5260,12932,Ediana Nursing Home,Nairobi,Nursing Home,Private Enterprise (Institution),Githurai,,ROYSAMBU,N,N,Operational
5262,12933,Edna Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Eastleigh Section I,,KAMUKUNJI,N,N,Operational
5263,12934,Edna Maternity,Nairobi,Maternity Home,Private Enterprise (Institution),Eastleigh Section Iii,,KAMUKUNJI,N,N,Operational
5276,19252,Embakasi District Medical Office,Nairobi,District Health Office,Ministry of Health,Mukuru,Imara Daima,EMBAKASI SOUTH,N,N,Operational
5277,12935,Embakasi Health Centre,Nairobi,Health Centre,Local Authority,Embakasi,Embakasi,EMBAKASI EAST,N,N,Operational
5278,19437,Embakasi Medical Centre,Nairobi,Health Centre,Private Practice - Clinical Officer,Mukuru,Kwa Njenga,EMBAKASI SOUTH,Y,Y,Operational
5279,18894,Embakasi Medical Centre (Aun),Nairobi,Medical Clinic,Private Practice - General Practitioner,Tassia,Tassia,EMBAKASI WEST,N,Y,Operational
5291,21215,Emerging Infectious Disease Center,Nairobi,Medical Clinic,Private Practice - General Practitioner,,,WESTLANDS,N,Y,Operational
5297,18987,Emko Clinic,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Kibra,Makina,KIBRA,N,Y,Operational
5302,18893,Emmanuel Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Savannah,Savannah,EMBAKASI WEST,Y,Y,Operational
5308,12936,Emmaus Nursing Home,Nairobi,Maternity Home,Private Enterprise (Institution),Umoja,Savannah,EMBAKASI WEST,Y,Y,Operational
5347,18613,Glory Health Clinic,Nairobi,Dispensary,Private Practice - Nurse / Midwife,Riruta,Riruta,DAGORETTI SOUTH,,Y,Operational
5356,18282,Glovnet VCT,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Makadara,Mbotela,MAKADARA,N,N,Operational
5416,19995,Evesben Foundation Medical Clinic,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Laini Saba,Laini Saba,LANG'ATA,N,Y,Operational
5424,19443,Exodus Community Health Care,Nairobi,Medical Clinic,Private Practice - Unspecified,,kayole,EMBAKASI CENTRAL,Y,Y,Operational
5430,19572,Eyeclinic (Nairobi),Nairobi,Eye Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
5447,19274,Family Acces Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,RUARAKA,N,Y,Operational
5448,12937,Family Care Clinic Kasarani,Nairobi,Dispensary,Private Enterprise (Institution),Githurai,,ROYSAMBU,N,N,Operational
5451,12942,Family Care Medical Centre & Maternity,Nairobi,Maternity Home,Non-Governmental Organizations,Nairobi West,Nairobi West,LANG'ATA,Y,Y,Operational
5455,18755,Family Dental Care (Ayany),Nairobi,Medical Clinic,Private Practice - Medical Specialist,Sarang'ombe,Kianda,LANG'ATA,N,Y,Operational
5461,12938,Family Health Medical Dispensary,Nairobi,Dispensary,Non-Governmental Organizations,Golfcourse,,DAGORETTI NORTH,N,N,Operational
5463,18217,Family Health Option of Kenya,Nairobi,Medical Clinic,Non-Governmental Organizations,Eastleigh North,,KAMUKUNJI,N,Y,Operational
5468,12939,Family Health Options Phoenix,Nairobi,Dispensary,Non-Governmental Organizations,Central Business District,,STAREHE,N,N,Operational
5470,12941,Family Life Promotions and Services,Nairobi,Dispensary,Non-Governmental Organizations,Jerusalem,Bahati,EMBAKASI WEST,Y,Y,Operational
5474,18390,Family Medical Centre (Ruai),Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruai,Ruai,KASARANI,Y,Y,Operational
5486,18795,Church Army Medical Clinic,Nairobi,Medical Clinic,Christian Health Association of Kenya,Makongeni,Makongeni,MAKADARA,N,Y,Operational
5497,18629,CID HQS Dispensary,Nairobi,Dispensary,State Coorporation,Roysambu,,ROYSAMBU,N,N,Operational
5498,12897,Cidi Mukuru Clinic,Nairobi,Medical Clinic,Other Faith Based,Mukuru,Kwa Njenga,EMBAKASI SOUTH,Y,Y,Operational
5499,19641,City Point Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),,,KAMUKUNJI,N,Y,Operational
5503,12898,Clinitec Medical Services,Nairobi,Medical Centre,Company Medical Service,Kilimani,,DAGORETTI NORTH,N,N,Operational
5504,17388,Clinix Health Care,Nairobi,Medical Clinic,Private Practice - Unspecified,Nairobi West,Nairobi West,LANG'ATA,Y,Y,Operational
5505,18754,Clinix Health Care (Kibra),Nairobi,Medical Clinic,Private Enterprise (Institution),Sarang'ombe,Kianda,KIBRA,N,N,Operational
5509,20369,CMIA Grace Children's Centre Dispensary,Nairobi,Dispensary,Christian Health Association of Kenya,Langata,Hardy,LANG'ATA,N,N,Operational
5510,20326,CMM Clinic,Nairobi,Dispensary,Christian Health Association of Kenya,Sarang'ombe,Olympic,KIBRA,N,N,Operational
5513,18745,Comboni Missionary Sisters Health Programm,Nairobi,Health Programme,Kenya Episcopal Conference-Catholic Secretariat,Korogocho,Nyayo,RUARAKA,N,Y,Operational
5516,19455,Communal Oriented Service International Centre,Nairobi,Health Centre,Private Practice - General Practitioner,Embakasi,Tassia,EMBAKASI EAST,Y,Y,Operational
5520,20230,Community Evolution Network VCT,Nairobi,Medical Clinic,Non-Governmental Organizations,Kibera,Lindi,KIBRA,N,Y,Operational
5521,12901,Community Health Foundation,Nairobi,Dispensary,Community,Central Business District,,STAREHE,N,N,Operational
5524,12902,Compassionate Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Kasarani,,RUARAKA,N,N,Operational
5528,12903,Conerstone Clinic,Nairobi,Medical Clinic,Christian Health Association of Kenya,Njiru, Njiru ,EMBAKASI WEST,N,N,Operational
5529,20641,Congo medical services,Nairobi,Medical Clinic,Private Enterprise (Institution),Kahawa west,kongo,ROYSAMBU,Y,Y,Operational
5530,12958,Coni Health Centre,Nairobi,Health Centre,Private Practice - Nurse / Midwife,Kayole,Embakasi,EMBAKASI CENTRAL,Y,Y,Operational
5531,19450,Connections Medical Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Embakasi,Embakasi,EMBAKASI EAST,N,Y,Operational
5537,18888,Consolata Shrine Dispensary (Deep Sea Nairobi),Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Highridge,Highridge,WESTLANDS,N,Y,Operational
5540,12905,Coptic Hospital (Ngong Road),Nairobi,Other Hospital,Christian Health Association of Kenya,Kilimani,Kilimani,DAGORETTI NORTH,Y,Y,Operational
5541,12904,Coptic Medical Clinic,Nairobi,Medical Clinic,Christian Health Association of Kenya,Viwandani,Landi Mawe,MAKADARA,N,Y,Operational
5543,19439,Corban Health Care,Nairobi,Health Centre,Private Practice - Nurse / Midwife,Umoja,Tena,EMBAKASI WEST,N,Y,Operational
5547,19470,Corner Hse Med Laboratory,Nairobi,Laboratory (Stand-alone),Private Practice - Unspecified,Central,Central,STAREHE,N,Y,Operational
5549,12906,Corner Stone,Nairobi,VCT Centre (Stand-Alone),Private Enterprise (Institution),Kasarani,,ROYSAMBU,N,N,Operational
5553,12907,Cotolengo Centre,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Karen,Karen,LANG'ATA,N,N,Operational
5562,18794,Couple Counselling Centre,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,KNH,KNH,KIBRA,N,N,Operational
5569,19486,Credible Health Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,,,MAKADARA,Y,Y,Operational
5570,19392,Crescent Medical Aid (Jamia Towers),Nairobi,Dispensary,Supreme Council for Kenya Muslims,Central,Central,STAREHE,N,Y,Operational
5571,12900,Crescent Medical Aid (Pangani),Nairobi,Medical Clinic,Non-Governmental Organizations,Kariokor,Pangani,STAREHE,N,N,Operational
5572,19634,Crescent Medical Aid Kenya Korogocho Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Korogocho,korogocho,RUARAKA,N,Y,Operational
5573,12899,Crescent Medical Aid Murang'a Road,Nairobi,Medical Clinic,Non-Governmental Organizations,Starehe,City Square,STAREHE,N,N,Operational
5577,19301,Crow Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ROYSAMBU,N,Y,Operational
5590,12908,Dabliu Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kayole,Embakasi,EMBAKASI CENTRAL,N,N,Operational
5602,19703,Dap Health Clinic,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Komarock,Komarock,EMBAKASI CENTRAL,N,Y,Operational
5616,20195,Debomart Med Clinic,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Bahati,Bahati,MAKADARA,N,Y,Operational
5621,19377,Delight Chemist & Lab,Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruaraka,mathare north,RUARAKA,N,Y,Operational
5624,12915,Delta Medical Clinic Dandora,Nairobi,Medical Clinic,Private Enterprise (Institution),Dandora,Dandora,EMBAKASI NORTH,N,N,Operational
5635,20489,Dessein Health Care,Nairobi,Medical Clinic,Private Practice - General Practitioner,Hazina,Hazina,MAKADARA,N,Y,Operational
5636,17949,Destiny Medical Centre (Ruaraka),Nairobi,Dispensary,Private Practice - Unspecified,Kasarani,Kasarani,RUARAKA,Y,Y,Operational
5648,12916,Diani Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Eastleigh Section Iii,,KAMUKUNJI,N,N,Operational
5666,17663,Discordant Couples of Kenya VCT,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Sarang'ombe,Kianda/Ayany,KIBRA,N,N,Operational
5671,18388,Divine Mercy Kariobangi,Nairobi,Medical Clinic,Other Faith Based,Kariobangi South,Kariobangi South,EMBAKASI WEST,N,Y,Operational
5673,12917,Diwopa Health Centre,Nairobi,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Kayole,Kayole,EMBAKASI CENTRAL,Y,Y,Operational
5676,12918,Dod Mrs Dispensary,Nairobi,Dispensary,Armed Forces,Kilimani,,DAGORETTI NORTH,N,N,Operational
5677,12919,Dog Unit Dispensary (O P Kenya Police),Nairobi,Dispensary,Other Public Institution,Mugumoini,Mugumoini,LANG'ATA,N,N,Operational
5689,12921,Dorkcare Nursing Home,Nairobi,Nursing Home,Private Enterprise (Institution),Eastleigh North,,KAMUKUNJI,Y,Y,Operational
5690,20529,Doulos Youth Friendly And VCT (KCC),Nairobi,VCT Centre (Stand-Alone),Other Faith Based,Kariobangi South,KCC,EMBAKASI WEST,N,Y,Operational
5699,19559,Dr Ashwin Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,Y,Operational
5701,12924,Dr Aziz Mohamed Medical Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Kilimani,,DAGORETTI NORTH,N,N,Operational
5705,20086,Dr Barnados House clinic,Nairobi,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,Mugumoini,Mugumoini,LANG'ATA,N,Y,Operational
5708,19418,Dr Chaundry Dental Services (Nairobi),Nairobi,Medical Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,Y,Operational
5709,19564,Dr David Chew Clinic,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Central,Central,STAREHE,N,Y,Operational
5716,19565,Dr Eliud Njuguna (Parklands),Nairobi,Medical Clinic,Private Practice - Medical Specialist,Parklands,,WESTLANDS,Y,Y,Operational
5719,18778,Dr Florence Murila (Ngong Road),Nairobi,Medical Clinic,Private Practice - Medical Specialist,Kilimani,Kilimani,DAGORETTI NORTH,N,Y,Operational
5721,12922,Dr Gachare Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kilimani,,DAGORETTI NORTH,N,N,Operational
5725,19425,Dr George Munene Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
5726,19567,Dr Gichuru Mwangi,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Parklands,Parklands,WESTLANDS,N,Y,Operational
5731,19563,Dr Henry Abwao,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Parklands,,WESTLANDS,N,Y,Operational
5733,18807,Dr Irimu Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Golfcourse,Golfcourse,KIBRA,N,N,Operational
5735,19961,Dr J A Alouch,Nairobi,Medical Clinic,Private Enterprise (Institution),,,DAGORETTI NORTH,N,Y,Operational
5738,19522,Dr J L Amugugaba Clinic (Nairobi),Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
5740,19468,Dr Jemmah & Nyawange Med Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
5756,19286,Imani Medical Clinic ( Mathare A 4),Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruaraka,Utalii,ROYSAMBU,N,Y,Operational
5766,17685,Imara Health Centre,Nairobi,Health Centre,Christian Health Association of Kenya,Mukuru,Mukuru Kwa Njenga,EMBAKASI SOUTH,Y,Y,Operational
5767,12981,Imara Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Mukuru Nyayo,Mukuru Nyayo,EMBAKASI SOUTH,N,N,Operational
5775,19574,Imenti Medical Centre,Nairobi,Medical Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
5781,19646,Dr Mboloi Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Kenyatta,Kenyatta,KIBRA,N,N,Operational
5784,12925,Dr MOHamed Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Maringo,Maringo,MAKADARA,N,N,Operational
5785,12926,Dr Montet Medical Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Kilimani,,DAGORETTI NORTH,N,N,Operational
5786,12927,Dr Muasya Medical Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Kilimani,,DAGORETTI NORTH,N,N,Operational
5788,19981,Dr Muhindi Clinic (Kilimani),Nairobi,Medical Clinic,Private Practice - General Practitioner,,,DAGORETTI NORTH,N,Y,Operational
5794,19979,Dr Mureithi Clinic (Kilimani),Nairobi,Medical Clinic,Private Practice - General Practitioner,,,DAGORETTI NORTH,N,Y,Operational
5796,19416,Dr Musili Clinic (Afya Centre-Nairobi),Nairobi,Medical Clinic,Private Practice - Medical Specialist,Central,Central,STAREHE,N,N,Operational
5844,12889,Cana Family Life Clinic,Nairobi,Maternity Home,Non-Governmental Organizations,Viwandani,Lungalunga,MAKADARA,Y,Y,Operational
5848,12890,Canaan Health Providers (Nairobi),Nairobi,Medical Clinic,Private Enterprise (Institution),City Square,,STAREHE,N,Y,Operational
5861,12891,Carolina For Kibera VCT,Nairobi,Medical Clinic,Non-Governmental Organizations,Sarang'ombe,Olympic,KIBRA,N,Y,Operational
5865,18484,Catholic Dispensary Kariobangi,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,kariobangi ,kariobangi,EMBAKASI NORTH,N,Y,Operational
5870,12892,Catholic University Dispensary,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Langata,,LANG'ATA,N,N,Operational
5906,19974,Central Bank Staff Clinic,Nairobi,Medical Clinic,State Coorporation,City Cenre,CBD,STAREHE,N,Y,Operational
5911,19578,Central Medical Clinic (Nairobi),Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,Y,Operational
5914,19531,Central Park Clinic,Nairobi,Dispensary,Private Practice - General Practitioner,Riruta,Kabiria,DAGORETTI NORTH,N,Y,Operational
5918,21148,CFW Clinics Kibagare,Nairobi,Health Centre,Non-Governmental Organizations,,,WESTLANDS,N,Y,Operational
5939,12893,Chandaria Health Centre,Nairobi,Health Centre,Community,Uthiru/Ruthimitu,Gachui,DAGORETTI SOUTH,N,N,Operational
6113,19569,Dr Ngathia Dental Clinic,Nairobi,Dental Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
6121,19423,Dr Nzuki Hildapaed Clinic,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Central,Central,STAREHE,N,N,Operational
6128,19426,Dr Parmar Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
6129,19480,Dr Parmar Medical Clinic (Nairobi),Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
6130,20105,Dr Paul Ondiege Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,Y,Operational
6131,19534,Dr Praful M Sanghani,Nairobi,Dental Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
6134,19576,Dr Rosaline Thara Dental Clinic,Nairobi,Dental Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
6146,12875,Babadogo (EDARP),Nairobi,VCT Centre (Stand-Alone),Kenya Episcopal Conference-Catholic Secretariat,Ruaraka,,RUARAKA,N,N,Operational
6147,12876,Babadogo Health Centre,Nairobi,Dispensary,Local Authority,Ruaraka,,RUARAKA,N,N,Operational
6148,12877,Babadogo Medical Health Centre,Nairobi,Health Centre,Private Enterprise (Institution),Githurai,,RUARAKA,N,N,Operational
6149,19296,Babito Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruaraka,Utalii,RUARAKA,N,Y,Operational
6156,19557,Bafana Medical Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),Kangemi,,WESTLANDS,N,Y,Operational
6162,12878,Bahati Clinic,Nairobi,Dispensary,Local Authority,Bahati,Bahati,MAKADARA,N,N,Operational
6165,12879,Bahati Health Centre,Nairobi,Health Centre,Local Authority,Bahati,Bahati,MAKADARA,Y,Y,Operational
6167,12880,Bahati Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kayole,Embakasi,MAKADARA,N,N,Operational
6177,21273,Baldo Ippolita Catholic Health Centre,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Mukuru,Pipeline,EMBAKASI SOUTH,Y,Y,Operational
6197,19428,Bans Optical (Nairobi),Nairobi,Eye Centre,Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
6206,18468,Bar Hostess Empowerment Support Program VCT,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Ruaraka,Mathare,RUARAKA,N,Y,Operational
6217,19571,Dr Stephen Macharia Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
6228,12928,Dr Were Medical Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Kilimani,,DAGORETTI NORTH,N,N,Operational
6234,20393,Dr.Charles.J.R.Opondo (landmark plaza),Nairobi,Medical Clinic,Private Practice - Medical Specialist,Kilimani,Kilimani,DAGORETTI NORTH,N,Y,Operational
6236,20394,Dr.Henry Wellington Alube (landmark plaza),Nairobi,Medical Clinic,Private Practice - General Practitioner,Kilimani,Kilimani,DAGORETTI NORTH,N,Y,Operational
6237,20397,Dr.K.Gicheru(Upper Hill Centre),Nairobi,Medical Clinic,Private Practice - Medical Specialist,Kilimani,Kilimani,DAGORETTI NORTH,N,Y,Operational
6238,12872,Arrow Web Maternity and Nursing Home,Nairobi,Nursing Home,Non-Governmental Organizations,Kayole,Kayole,EMBAKASI CENTRAL,N,N,Operational
6240,19560,Artisan Dental Laboratory (Nairobi),Nairobi,Laboratory (Stand-alone),Private Practice - Unspecified,Central,Central,STAREHE,N,Y,Operational
6249,12873,Aski Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kayole,Embakasi,EMBAKASI CENTRAL,Y,Y,Operational
6253,18348,Association of Physically Disabled of Kenya,Nairobi,Health Project,Non-Governmental Organizations,Parklands,Parklands,WESTLANDS,N,N,Operational
6343,19035,Chonesus Clinic,Nairobi,Dispensary,Christian Health Association of Kenya,Laini Saba,Laini Saba,KIBRA,N,Y,Operational
6375,12886,Bomas of Kenya Dispensary,Nairobi,Dispensary,Parastatal,Lang'ata,Bomas,LANG'ATA,N,N,Operational
6389,12882,Bethel Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Huruma,,STAREHE,N,N,Operational
6412,20374,Beyond the Bridge Vision VCT,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Mugumoini,Mugumoini,LANG'ATA,N,N,Operational
6414,12883,Biafra Lions Clinic,Nairobi,Medical Clinic,Local Authority,Eastleigh Section 111,Eastleigh south,KAMUKUNJI,N,N,Operational
6415,12884,Biafra Medical Clinic,Nairobi,Dispensary,Private Enterprise (Institution),Eastleigh North,Eastleigh North,KAMUKUNJI,N,Y,Operational
6439,16801,Al-Gadhir Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Kawangware,Kawangware,DAGORETTI NORTH,N,N,Operational
6445,12869,Alice Nursing Home,Nairobi,Nursing Home,Private Enterprise (Institution),Mukuru,Kwa Njenga,EMBAKASI SOUTH,Y,Y,Operational
6451,20636,All Care Medical Centre,Nairobi,Medical Clinic,Private Practice - Unspecified,Karen,Karen,LANG'ATA,Y,Y,Operational
6456,17847,Alliance Medical Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),Eastleigh South,Eastleigh South,KAMUKUNJI,Y,Y,Operational
6474,19520,Aculaser Institute,Nairobi,Training Institution in Health (Stand-alone),Private Enterprise (Institution),Parklands,,WESTLANDS,Y,Y,Operational
6486,18535,Adventist Centre For Care and Support (Kilimani),Nairobi,VCT Centre (Stand-Alone),Other Faith Based,Kilimani,Kilimani,DAGORETTI NORTH,N,N,Operational
6489,20090,African Divine Church-Org,Nairobi,VCT Centre (Stand-Alone),Other Faith Based,Mathare,Mabati-ni,MATHARE,N,Y,Operational
6515,18769,Al Amin Nursing Home,Nairobi,Health Centre,Private Practice - Clinical Officer,Eastleigh North,Eastleigh North,KAMUKUNJI,Y,Y,Operational
6536,19608,Al-Fallah Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),,,KAMUKUNJI,N,Y,Operational
6542,12868,Aga Khan University Hospital (Buruburu),Nairobi,Dispensary,Private Enterprise (Institution),Makadara,Harambee,MAKADARA,N,Y,Operational
6543,20404,Aga Khan University Hospital (Capital Centre),Nairobi,Medical Clinic,Private Practice - General Practitioner,Nairobi South,Nairobi South,STAREHE,N,Y,Operational
6577,20388,AIC Zion Medical Clinic,Nairobi,Medical Clinic,Other Faith Based,Huruma,Huruma,MATHARE,N,N,Operational
6579,20736,AIDS Health Care Foundation Parklands Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Parklands,Highridge,WESTLANDS,N,N,Operational
6580,20602,Aids HealthCare Foundation Eastleigh,Nairobi,Dispensary,Non-Governmental Organizations,,,KAMUKUNJI,N,Y,Operational
6581,20538,Aimon med clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Ruaraka,babadogo,RUARAKA,N,Y,Operational
6623,19397,Afyamax Medical & Centre Dental,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,ROYSAMBU,N,Y,Operational
6626,20605,Aga Khan Clinic ( Ngong  Rd Prestige),Nairobi,Medical Clinic,Private Practice - General Practitioner,,,KIBRA,N,Y,Operational
6627,20236,Aga Khan Clinic (Eastleigh),Nairobi,Medical Clinic,Private Enterprise (Institution),Pumwani,Pumwani,KAMUKUNJI,N,Y,Operational
6629,19457,Aga Khan Greenspam Medical Centre,Nairobi,Medical Clinic,Private Practice - Unspecified,Savanna,Savanna,EMBAKASI WEST,N,Y,Operational
6631,12867,Aga Khan Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Parklands,,WESTLANDS,Y,Y,Operational
6654,19537,Bridgeway Clinic,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Kangemi,,WESTLANDS,N,Y,Operational
6655,19405,Bridging Out-Patient,Nairobi,Medical Clinic,Private Practice - General Practitioner,Kahawa,Kahawa,ROYSAMBU,,,Operational
6657,18271,Bristal Park Hospital,Nairobi,Other Hospital,Private Practice - General Practitioner,Embakasi,Tassia,EMBAKASI EAST,Y,Y,Operational
6658,18277,British American Tobacco Kenya Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Viwandani,Landi Mawe,MAKADARA,N,Y,Operational
6660,12887,Brother andre Clinic,Nairobi,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat, Dandora , Dandora ,EMBAKASI NORTH,N,N,Operational
6724,12870,Amurt Health Centre,Nairobi,Dispensary,Non-Governmental Organizations,Kangemi,Kangemi,WESTLANDS,N,N,Operational
6731,18770,Andulus Medical Clinic,Nairobi,Health Centre,Private Enterprise (Institution),Eastleigh North,Eastleigh North,KAMUKUNJI,Y,Y,Operational
6736,18272,Angaza VCT,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kayole,Koyole  Two,EMBAKASI CENTRAL,N,N,Operational
6748,19404,Annex Health Care,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ROYSAMBU,N,Y,Operational
